epoch,accuracy,loss,val_accuracy,val_loss
0,0.7630000114440918,0.5800681114196777,0.8012499809265137,0.4946170151233673
1,0.8554999828338623,0.34885451197624207,0.8887500166893005,0.27017077803611755
2,0.8805000185966492,0.30186334252357483,0.8862500190734863,0.2912224233150482
3,0.9079999923706055,0.24502074718475342,0.9075000286102295,0.2943745255470276
4,0.9229999780654907,0.2138741910457611,0.887499988079071,0.3668937385082245
5,0.9265000224113464,0.2140994817018509,0.8924999833106995,0.2888581454753876
6,0.9300000071525574,0.18157713115215302,0.8999999761581421,0.31223347783088684
7,0.9380000233650208,0.1572279930114746,0.8949999809265137,0.4070083498954773
8,0.9445000290870667,0.16961868107318878,0.8924999833106995,0.4206261932849884
9,0.9445000290870667,0.14309602975845337,0.8999999761581421,0.3625083863735199
